utime Server CPU Memory Users
1447718640 nyc-bc-ce-06 0 30 3
1447718640 nyc-bc-drp-01 0 20 2
1447718640 nyc-bc-drp-02 0 20 2
1447718640 nyc-bc-rp-01 1 24 0
1447718640 nyc-bc-rp-02 0 16 0
1447718640 nyc-bc-sg-01 13 21 1914
1447718640 nyc-bc-sg-02 22 22 1852
1447718640 nyc-bc-sg-03 11 22 1703
1447718640 syd-bc-ce-01 17 65 469
1447718640 syd-bc-ce-02 1 51 75
1447718700 chn-bc-ce-01 1 41 2
1447718700 chn-bc-ce-02 0 40 2
1447718700 chn-bc-ce-03 0 30 65
1447718700 chn-bc-sg-01 6 22 568
1447718700 chn-bc-sg-02 6 22 581
1447718700 lon-bc-sg-01 11 21 1824
1447718700 lon-bc-sg-02 9 20 1575
1447718700 tok-bc-ce-01 2 36 357
1447718700 tok-bc-ce-02 2 26 261
1447718700 tok-bc-sg-01 22 25 2004
1447718700 snd-bc-sg-01 6 24 393
1447718700 snd-bc-sg-02 7 23 358
1447718700 bos-bc-ce-03 1 17 1
1447718700 bos-bc-ce-04 1 24 0
1447718700 bos-bc-drp-01 25 55 11518
1447718700 bos-bc-drp-02 25 55 11538
1447718700 bos-bc-rp-01 4 16 63
1447718700 bos-bc-sg-01 12 23 1658
1447718700 bos-bc-sg-02 14 20 1572
1447718700 bos-bc-sg-03 11 20 1456
1447718700 sng-bc-ce-01 1 25 236
1447718700 sng-bc-ce-02 1 26 79
1447718700 sng-bc-sg-01 2 19 216
1447718700 sng-bc-sg-02 10 24 1776
1447718700 kor-bc-ce-01 10 58 160
1447718700 kor-bc-ce-02 1 45 52
1447718700 nyc-bc-ce-05 1 15 3
1447718700 nyc-bc-ce-06 0 30 2
1447718700 nyc-bc-drp-01 0 20 1
1447718700 nyc-bc-drp-02 0 20 1
1447718700 nyc-bc-rp-01 0 24 0
1447718700 nyc-bc-rp-02 0 16 0
1447718700 nyc-bc-sg-01 13 21 1910
1447718700 nyc-bc-sg-02 21 22 1850
1447718700 nyc-bc-sg-03 11 22 1710
1447718700 syd-bc-ce-01 13 65 473
1447718700 syd-bc-ce-02 2 51 79
1447718760 chn-bc-ce-01 0 41 0
1447718760 chn-bc-ce-02 0 40 0
1447718760 chn-bc-ce-03 0 30 67
1447718760 chn-bc-sg-01 6 22 598
1447718760 chn-bc-sg-02 8 22 596
1447718760 lon-bc-sg-01 10 21 1828
1447718760 lon-bc-sg-02 8 20 1585
1447718760 tok-bc-ce-01 1 36 350
1447718760 tok-bc-ce-02 1 26 252
1447718760 tok-bc-sg-01 23 25 2023
1447718760 snd-bc-sg-01 7 24 391
1447718760 snd-bc-sg-02 8 23 360
1447718760 bos-bc-ce-03 1 17 0
1447718760 bos-bc-ce-04 1 24 0
1447718760 bos-bc-drp-01 23 55 11739
1447718760 bos-bc-drp-02 25 55 11757
1447718760 bos-bc-rp-01 4 16 67
1447718760 bos-bc-sg-01 13 23 1652
1447718760 bos-bc-sg-02 14 20 1558
1447718760 bos-bc-sg-03 11 20 1429
1447718760 sng-bc-ce-01 1 25 225
1447718760 sng-bc-ce-02 1 26 85
1447718760 sng-bc-sg-01 2 19 223
1447718760 sng-bc-sg-02 9 24 1782
1447718760 kor-bc-ce-01 8 58 156
1447718760 kor-bc-ce-02 1 45 45
1447718760 nyc-bc-ce-05 1 15 1
1447718760 nyc-bc-ce-06 0 30 0
1447718760 nyc-bc-drp-01 0 20 0
1447718760 nyc-bc-drp-02 0 20 0
1447718760 nyc-bc-rp-01 0 24 0
1447718760 nyc-bc-rp-02 0 16 0
1447718760 nyc-bc-sg-01 13 21 1886
1447718760 nyc-bc-sg-02 22 22 1832
1447718760 nyc-bc-sg-03 12 22 1689
1447718760 syd-bc-ce-01 16 65 463
1447718760 syd-bc-ce-02 2 51 83
1447718820 chn-bc-ce-01 0 41 0
1447718820 chn-bc-ce-02 1 40 0
1447718820 chn-bc-ce-03 1 31 70
1447718820 chn-bc-sg-01 4 22 604
1447718820 chn-bc-sg-02 7 22 598
1447718820 lon-bc-sg-01 9 21 1824
1447718820 lon-bc-sg-02 9 20 1587
1447718820 tok-bc-ce-01 1 36 354
1447718820 tok-bc-ce-02 1 26 242
1447718820 tok-bc-sg-01 29 25 2056
1447718820 snd-bc-sg-01 7 24 387
1447718820 snd-bc-sg-02 9 23 359
1447718820 bos-bc-ce-03 1 17 0
1447718820 bos-bc-ce-04 1 24 0
1447718820 bos-bc-drp-01 25 56 11900
1447718820 bos-bc-drp-02 23 55 11881
1447718820 bos-bc-rp-01 4 16 71
1447718820 bos-bc-sg-01 16 23 1657
1447718820 bos-bc-sg-02 15 20 1600
1447718820 bos-bc-sg-03 11 20 1464
1447718820 sng-bc-ce-01 1 25 222
1447718820 sng-bc-ce-02 1 26 89
1447718820 sng-bc-sg-01 2 19 221
1447718820 sng-bc-sg-02 10 24 1789
1447718820 kor-bc-ce-01 9 57 158
1447718820 kor-bc-ce-02 1 45 47
1447718820 nyc-bc-ce-05 1 15 1
1447718820 nyc-bc-ce-06 0 30 1
1447718820 nyc-bc-drp-01 0 20 0
1447718820 nyc-bc-drp-02 0 20 1
1447718820 nyc-bc-rp-01 0 24 0
1447718820 nyc-bc-rp-02 0 16 0
1447718820 nyc-bc-sg-01 13 21 1899
1447718820 nyc-bc-sg-02 20 22 1823
1447718820 nyc-bc-sg-03 13 22 1660
1447718820 syd-bc-ce-01 20 65 465
1447718820 syd-bc-ce-02 2 51 75
1447718880 chn-bc-ce-01 0 41 0
1447718880 chn-bc-ce-02 0 40 0
1447718880 chn-bc-ce-03 1 31 80
1447718880 chn-bc-sg-01 4 22 605
1447718880 chn-bc-sg-02 7 22 632
1447718880 lon-bc-sg-01 8 21 1826
1447718880 lon-bc-sg-02 9 20 1581
1447718880 tok-bc-ce-01 1 36 358
1447718880 tok-bc-ce-02 1 26 247
1447718880 tok-bc-sg-01 26 25 2061
1447718880 snd-bc-sg-01 6 24 378
1447718880 snd-bc-sg-02 7 23 353
1447718880 bos-bc-ce-03 1 17 0
1447718880 bos-bc-ce-04 1 24 0
1447718880 bos-bc-drp-01 25 56 11983
1447718880 bos-bc-drp-02 23 56 11932
1447718880 bos-bc-rp-01 4 16 80
1447718880 bos-bc-sg-01 16 23 1656
1447718880 bos-bc-sg-02 14 20 1558
1447718880 bos-bc-sg-03 13 20 1448
1447718880 sng-bc-ce-01 1 25 210
1447718880 sng-bc-ce-02 1 26 85
1447718880 sng-bc-sg-01 2 19 213
1447718880 sng-bc-sg-02 9 24 1791
1447718880 kor-bc-ce-01 7 58 161
1447718880 kor-bc-ce-02 1 45 39
1447718880 nyc-bc-ce-05 1 15 2
1447718880 nyc-bc-ce-06 0 30 2
1447718880 nyc-bc-drp-01 0 20 1
1447718880 nyc-bc-drp-02 0 20 0
1447718880 nyc-bc-rp-01 0 24 0
1447718880 nyc-bc-rp-02 0 16 0
1447718880 nyc-bc-sg-01 12 21 1864
1447718880 nyc-bc-sg-02 22 22 1809
1447718880 nyc-bc-sg-03 13 22 1601
1447718880 syd-bc-ce-01 17 65 472
1447718880 syd-bc-ce-02 1 51 68
1447718940 chn-bc-ce-01 0 41 2
1447718940 chn-bc-ce-02 0 40 2
1447718940 chn-bc-ce-03 0 31 86
1447718940 chn-bc-sg-01 4 23 623
1447718940 chn-bc-sg-02 6 22 643
1447718940 lon-bc-sg-01 9 21 1806
1447718940 lon-bc-sg-02 9 20 1585
1447718940 tok-bc-ce-01 2 36 328
1447718940 tok-bc-ce-02 1 26 237
1447718940 tok-bc-sg-01 26 25 2077
1447718940 snd-bc-sg-01 5 24 377
1447718940 snd-bc-sg-02 7 23 348
1447718940 bos-bc-ce-03 1 17 1
1447718940 bos-bc-ce-04 1 24 0
1447718940 bos-bc-drp-01 27 56 12071
1447718940 bos-bc-drp-02 25 56 12126
1447718940 bos-bc-rp-01 4 16 74
1447718940 bos-bc-sg-01 15 23 1683
1447718940 bos-bc-sg-02 15 20 1573
1447718940 bos-bc-sg-03 12 20 1417
1447718940 sng-bc-ce-01 1 25 210
1447718940 sng-bc-ce-02 1 26 80
1447718940 sng-bc-sg-01 2 19 227
1447718940 sng-bc-sg-02 9 24 1773
1447718940 kor-bc-ce-01 9 58 164
1447718940 kor-bc-ce-02 1 45 40
1447718940 nyc-bc-ce-05 1 15 4
1447718940 nyc-bc-ce-06 0 30 4
1447718940 nyc-bc-drp-01 0 20 1
1447718940 nyc-bc-drp-02 0 20 1
1447718940 nyc-bc-rp-01 0 24 0
1447718940 nyc-bc-rp-02 0 16 1
1447718940 nyc-bc-sg-01 13 21 1874
1447718940 nyc-bc-sg-02 22 22 1825
1447718940 nyc-bc-sg-03 13 22 1617
1447718940 syd-bc-ce-01 15 66 471
1447718940 syd-bc-ce-02 2 51 69
1447719000 chn-bc-ce-01 0 41 2
1447719000 chn-bc-ce-02 0 40 2
1447719000 chn-bc-ce-03 0 31 81
1447719000 chn-bc-sg-01 5 23 630
1447719000 chn-bc-sg-02 7 22 660
1447719000 lon-bc-sg-01 8 21 1815
1447719000 lon-bc-sg-02 9 20 1549
1447719000 tok-bc-ce-01 2 36 322
1447719000 tok-bc-ce-02 1 26 221
1447719000 tok-bc-sg-01 30 25 2117
1447719000 snd-bc-sg-01 5 24 373
1447719000 snd-bc-sg-02 7 23 343
1447719000 bos-bc-ce-03 1 17 1
1447719000 bos-bc-ce-04 1 24 0
1447719000 bos-bc-drp-01 24 56 12099
1447719000 bos-bc-drp-02 23 56 12172
1447719000 bos-bc-rp-01 4 16 62
1447719000 bos-bc-sg-01 15 24 1681
1447719000 bos-bc-sg-02 14 20 1586
1447719000 bos-bc-sg-03 10 20 1402
1447719000 sng-bc-ce-01 1 25 227
1447719000 sng-bc-ce-02 1 26 71
1447719000 sng-bc-sg-01 2 19 224
1447719000 sng-bc-sg-02 11 24 1786
1447719000 kor-bc-ce-01 8 58 169
1447719000 kor-bc-ce-02 1 45 48
1447719000 nyc-bc-ce-05 1 15 3
1447719000 nyc-bc-ce-06 0 30 2
1447719000 nyc-bc-drp-01 0 20 0
1447719000 nyc-bc-drp-02 0 20 1
1447719000 nyc-bc-rp-01 0 24 0
1447719000 nyc-bc-rp-02 0 16 1
1447719000 nyc-bc-sg-01 12 21 1890
1447719000 nyc-bc-sg-02 21 22 1841
1447719000 nyc-bc-sg-03 13 22 1618
1447719000 syd-bc-ce-01 16 66 485
1447719000 syd-bc-ce-02 2 50 79
1447719060 chn-bc-ce-01 0 41 1
1447719060 chn-bc-ce-02 0 40 1
1447719060 chn-bc-ce-03 0 31 82
1447719060 chn-bc-sg-01 4 23 627
1447719060 chn-bc-sg-02 8 22 671
1447719060 lon-bc-sg-01 9 21 1785
1447719060 lon-bc-sg-02 8 20 1560
1447719060 tok-bc-ce-01 1 36 340
1447719060 tok-bc-ce-02 2 26 227
1447719060 tok-bc-sg-01 29 25 2138
1447719060 snd-bc-sg-01 6 24 373
1447719060 snd-bc-sg-02 8 23 338
1447719060 bos-bc-ce-03 1 17 0
1447719060 bos-bc-ce-04 1 24 0
1447719060 bos-bc-drp-01 24 56 11976
1447719060 bos-bc-drp-02 24 56 11969
1447719060 bos-bc-rp-01 3 16 55
1447719060 bos-bc-sg-01 16 24 1622
1447719060 bos-bc-sg-02 15 20 1539
1447719060 bos-bc-sg-03 10 20 1408
1447719060 sng-bc-ce-01 1 25 233
1447719060 sng-bc-ce-02 1 26 77
1447719060 sng-bc-sg-01 2 19 232
1447719060 sng-bc-sg-02 10 24 1809
